2026-08-13T19:57:44.286+03:30 I (64656) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:44.286+03:30 I (64687) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:44.286+03:30 I (64687) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:45.329+03:30 I (65698) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:45.329+03:30 I (65698) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:45.329+03:30 I (65729) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:45.329+03:30 I (65729) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:45.685+03:30 I (66081) shahbaz: state=1 usb=0 telemetry=0 SHT30=offline(err=3 i2c=4 fail=189 crc=0) MS5611=offline(err=3 i2c=5 fail=189 crc=0) rx=0 rx_drop=0 tx_drop=0 session_reject=0 stale_reject=0
2026-08-13T19:57:46.368+03:30 I (66740) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:46.368+03:30 I (66740) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:46.368+03:30 I (66771) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:46.368+03:30 I (66771) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:47.418+03:30 I (67782) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:47.418+03:30 I (67782) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:47.418+03:30 I (67813) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:47.418+03:30 I (67813) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:48.451+03:30 I (68824) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:48.451+03:30 I (68824) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:48.451+03:30 I (68855) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:48.452+03:30 I (68855) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:49.502+03:30 I (69866) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:49.502+03:30 I (69866) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:49.502+03:30 I (69897) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:49.502+03:30 I (69897) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:50.535+03:30 I (70908) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:50.535+03:30 I (70908) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:50.535+03:30 I (70939) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:50.535+03:30 I (70939) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:50.683+03:30 I (71081) shahbaz: state=1 usb=0 telemetry=0 SHT30=offline(err=3 i2c=4 fail=204 crc=0) MS5611=offline(err=3 i2c=5 fail=204 crc=0) rx=0 rx_drop=0 tx_drop=0 session_reject=0 stale_reject=0
2026-08-13T19:57:51.582+03:30 I (71950) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:51.582+03:30 I (71950) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:51.582+03:30 I (71981) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:51.582+03:30 I (71981) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:52.617+03:30 I (72992) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:52.617+03:30 I (72992) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:52.617+03:30 I (73023) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:52.617+03:30 I (73023) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:53.660+03:30 I (74034) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:53.660+03:30 I (74034) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:53.660+03:30 I (74065) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:53.660+03:30 I (74065) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:54.699+03:30 I (75076) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:54.700+03:30 I (75076) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:54.700+03:30 I (75107) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:54.700+03:30 I (75107) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:55.750+03:30 I (76081) shahbaz: state=1 usb=0 telemetry=0 SHT30=offline(err=3 i2c=4 fail=216 crc=0) MS5611=offline(err=3 i2c=5 fail=216 crc=0) rx=0 rx_drop=0 tx_drop=0 session_reject=0 stale_reject=0
2026-08-13T19:57:55.750+03:30 I (76118) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:55.750+03:30 I (76118) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:55.750+03:30 I (76149) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:55.751+03:30 I (76149) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:56.784+03:30 I (77160) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:56.784+03:30 I (77160) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:56.784+03:30 I (77191) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:56.784+03:30 I (77191) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:57.827+03:30 I (78202) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:57.827+03:30 I (78202) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:57.827+03:30 I (78233) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:57.827+03:30 I (78233) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:58.867+03:30 I (79244) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:58.867+03:30 I (79244) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:58.867+03:30 I (79275) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:58.867+03:30 I (79275) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:59.913+03:30 I (80286) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:59.913+03:30 I (80286) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:59.913+03:30 I (80317) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:59.913+03:30 I (80317) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:00.682+03:30 I (81081) shahbaz: state=1 usb=0 telemetry=0 SHT30=offline(err=3 i2c=4 fail=231 crc=0) MS5611=offline(err=3 i2c=5 fail=231 crc=0) rx=0 rx_drop=0 tx_drop=0 session_reject=0 stale_reject=0
2026-08-13T19:58:00.949+03:30 I (81328) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:00.949+03:30 I (81328) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:00.949+03:30 I (81359) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:00.949+03:30 I (81359) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:01.999+03:30 I (82370) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:01.999+03:30 I (82370) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:01.999+03:30 I (82401) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:01.999+03:30 I (82401) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:03.049+03:30 I (83412) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:03.049+03:30 I (83412) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:03.049+03:30 I (83443) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:03.049+03:30 I (83443) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:04.081+03:30 I (84454) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:04.081+03:30 I (84454) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:04.081+03:30 I (84485) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:04.082+03:30 I (84485) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:05.127+03:30 I (85496) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:05.127+03:30 I (85496) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:05.127+03:30 I (85527) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:05.127+03:30 I (85527) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:05.680+03:30 I (86081) shahbaz: state=1 usb=0 telemetry=0 SHT30=offline(err=3 i2c=4 fail=246 crc=0) MS5611=offline(err=3 i2c=5 fail=246 crc=0) rx=0 rx_drop=0 tx_drop=0 session_reject=0 stale_reject=0
2026-08-13T19:58:06.165+03:30 I (86538) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:06.165+03:30 I (86538) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:06.165+03:30 I (86569) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:06.165+03:30 I (86569) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:07.208+03:30 I (87580) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:07.208+03:30 I (87580) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:07.208+03:30 I (87611) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:07.208+03:30 I (87611) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:08.247+03:30 I (88622) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:08.248+03:30 I (88622) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:08.248+03:30 I (88653) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:08.248+03:30 I (88653) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:09.297+03:30 I (89664) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:09.297+03:30 I (89664) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:09.297+03:30 I (89695) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:09.297+03:30 I (89695) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:10.324+03:30 I (90706) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:10.324+03:30 I (90706) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:10.324+03:30 I (90737) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:10.324+03:30 I (90737) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:58:10.680+03:30 I (91081) shahbaz: state=1 usb=0 telemetry=0 SHT30=offline(err=3 i2c=4 fail=261 crc=0) MS5611=offline(err=3 i2c=5 fail=261 crc=0) rx=0 rx_drop=0 tx_drop=0 session_reject=0 stale_reject=0
2026-08-13T19:58:11.380+03:30 I (91748) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
